Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Engagement_Score,Cashback_Per_Order,Address_Stability,Device_Per_Tenure,Churn_Probability,Churn_Percentage,Risk_Level
15.0,29.0,4,laptop & accessory,3,single,2,0,7.0,143.32,0,1.875,8.9575,0.125,0.25,0.02206638354472779,2.206638354472779,Low
7.0,25.0,4,watch,1,married,2,0,7.0,129.29,0,0.875,16.16125,0.25,0.5,0.02541054269306179,2.541054269306179,Low
27.0,13.0,3,laptop & accessory,1,married,5,0,7.0,168.54,0,3.375,6.019285714285714,0.17857142857142858,0.10714285714285714,0.013454139367033175,1.3454139367033175,Low
20.0,25.0,4,fashion,3,divorced,7,0,3.0,230.27,0,5.0,10.965238095238096,0.3333333333333333,0.19047619047619047,0.040769935735390436,4.076993573539044,Low
30.0,15.0,4,others,4,single,8,0,8.0,322.17,0,3.3333333333333335,10.39258064516129,0.25806451612903225,0.12903225806451613,0.01522450478105693,1.5224504781056931,Low
7.0,16.0,4,mobile phone,2,divorced,2,0,11.0,152.81,0,0.5833333333333334,19.10125,0.25,0.5,0.0203394537991516,2.03394537991516,Low
1.0,15.0,6,mobile phone,5,divorced,3,0,2.0,149.51,0,0.3333333333333333,74.755,1.5,3.0,0.4348507254690645,43.48507254690645,Medium
1.0,11.0,4,mobile phone,5,single,3,0,1.0,154.73,1,0.5,77.365,1.5,2.0,0.6315622325047132,63.15622325047132,Medium
11.0,12.0,4,mobile phone,3,married,2,0,4.0,137.02,0,2.2,11.418333333333335,0.16666666666666666,0.3333333333333333,0.023663227237408525,2.3663227237408524,Low
17.0,7.0,3,laptop & accessory,1,married,5,1,2.0,157.43,0,5.666666666666667,8.746111111111112,0.2777777777777778,0.16666666666666666,0.016880597954397555,1.6880597954397554,Low
6.0,26.0,6,fashion,3,married,5,0,3.0,221.1,0,1.5,31.585714285714285,0.7142857142857143,0.8571428571428571,0.13651417714762773,13.651417714762774,Low
16.0,20.0,2,laptop & accessory,5,married,7,0,1.0,180.38,0,8.0,10.610588235294117,0.4117647058823529,0.11764705882352941,0.016706603764952477,1.6706603764952477,Low
1.0,7.0,4,mobile phone,3,divorced,5,0,3.0,154.09,1,0.25,77.045,2.5,2.0,0.6792181279901183,67.92181279901183,Medium
1.0,7.0,5,fashion,3,divorced,7,0,3.0,231.09,1,0.25,115.545,3.5,2.5,0.7659672611896552,76.59672611896552,High
6.0,14.0,3,laptop & accessory,5,married,3,0,2.0,163.92,0,2.0,23.417142857142856,0.42857142857142855,0.42857142857142855,0.017047877157038642,1.7047877157038642,Low
